,,,
,,,
,,,
,,,
Iron Man,"Jon Favreau[36]
","Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway[36][37]
","Avi Arad and Kevin Feige
"
The Incredible Hulk,"Louis Leterrier[38]
","Zak Penn[39]
","Avi Arad, Gale Anne Hurd, and Kevin Feige
"
Iron Man 2,"Jon Favreau[40]
","Justin Theroux[41]
","Kevin Feige
"
Thor,"Kenneth Branagh[42]
","Ashley Edward Miller & Zack Stentz and Don Payne[43]
",
Captain America: The First Avenger,"Joe Johnston[44]
","Christopher Markus & Stephen McFeely[45]
",
The Avengers,"Joss Whedon[46]
",,
Iron Man 3,"Shane Black[47]
","Drew Pearce and Shane Black[47][48]
","Kevin Feige
"
Thor: The Dark World,"Alan Taylor[49]
","Christopher L. Yost and Christopher Markus & Stephen McFeely[50]
",
Captain America: The Winter Soldier,"Anthony and Joe Russo[51]
","Christopher Markus & Stephen McFeely[52]
",
Guardians of the Galaxy,"James Gunn[53]
","James Gunn and Nicole Perlman[54]
",
Avengers: Age of Ultron,"Joss Whedon[55]
",,
Ant-Man,"Peyton Reed[56]
","Edgar Wright & Joe Cornish and Adam McKay & Paul Rudd[57]
",
Captain America: Civil War,"Anthony and Joe Russo[58]
","Christopher Markus & Stephen McFeely[58]
","Kevin Feige
"
Doctor Strange,"Scott Derrickson[59]
","Jon Spaihts and Scott Derrickson & C. Robert Cargill[60]
",
Guardians of the Galaxy Vol. 2,"James Gunn[54]
",,
Spider-Man: Homecoming,"Jon Watts[61]
","Jonathan Goldstein & John Francis Daley and Jon Watts & Christopher Ford and Chris McKenna & Erik Sommers[62]
","Kevin Feige and Amy Pascal
"
Thor: Ragnarok,"Taika Waititi[63]
","Eric Pearson and Craig Kyle & Christopher L. Yost[64][65]
","Kevin Feige
"
Black Panther,"Ryan Coogler[66]
","Ryan Coogler & Joe Robert Cole[67][68]
",
Avengers: Infinity War,"Anthony and Joe Russo[69]
","Christopher Markus & Stephen McFeely[70]
",
Ant-Man and the Wasp,"Peyton Reed[71]
","Chris McKenna & Erik Sommers and Paul Rudd & Andrew Barrer & Gabriel Ferrari[72]
","Kevin Feige and Stephen Broussard
"
Captain Marvel,"Anna Boden & Ryan Fleck[73]
","Anna Boden & Ryan Fleck & Geneva Robertson-Dworet[74]
","Kevin Feige
"
Avengers: Endgame,"Anthony and Joe Russo[69]
","Christopher Markus & Stephen McFeely[70]
",
Spider-Man: Far From Home,"Jon Watts[75]
","Chris McKenna & Erik Sommers[76]
","Kevin Feige and Amy Pascal
"
Black Widow,"Cate Shortland[78]
","Eric Pearson[79]
","Kevin Feige
"
Shang-Chi and the Legend of the Ten Rings,"Destin Daniel Cretton[80]
","Dave Callaham & Destin Daniel Cretton & Andrew Lanham[81]
","Kevin Feige and Jonathan Schwartz
"
Eternals,"Chloé Zhao[82]
","Chloé Zhao and Chloé Zhao & Patrick Burleigh and Ryan Firpo & Kaz Firpo[83][84][c]
","Kevin Feige and Nate Moore
"
Spider-Man: No Way Home,"Jon Watts[85]
","Chris McKenna & Erik Sommers[86]
","Kevin Feige and Amy Pascal
"
Doctor Strange in the Multiverse of Madness,"Sam Raimi[87]
","Michael Waldron[88]
","Kevin Feige
"
Thor: Love and Thunder,"Taika Waititi[89]
","Taika Waititi & Jennifer Kaytin Robinson[90]
","Kevin Feige and Brad Winderbaum
"
Black Panther: Wakanda Forever,"Ryan Coogler[91]
","Ryan Coogler & Joe Robert Cole[91][92]
","Kevin Feige and Nate Moore
"
Ant-Man and the Wasp: Quantumania,"Peyton Reed[94]
","Jeff Loveness[95]
","Kevin Feige and Stephen Broussard
"
Guardians of the Galaxy Vol. 3,"James Gunn[96]
","Kevin Feige
",
The Marvels,"Nia DaCosta[97]
","Nia DaCosta and Megan McDonnell and Elissa Karasik[98]
",
Deadpool & Wolverine,"Shawn Levy[99]
","Ryan Reynolds & Rhett Reese & Paul Wernick & Zeb Wells & Shawn Levy[100]
","Kevin Feige, Lauren Shuler Donner, Ryan Reynolds, and Shawn Levy
"
Captain America: Brave New World,"Julius Onah[101]
","Rob Edwards and Malcolm Spellman & Dalan Musson and Julius Onah & Peter Glanz[102]
","Kevin Feige and Nate Moore
"
Thunderbolts*,"Jake Schreier[101]
","Eric Pearson and Joanna Calo[105]
","Kevin Feige
"
The Fantastic Four: First Steps,"Matt Shakman[107]
","Josh Friedman and Eric Pearson and Jeff Kaplan & Ian Springer[108]
","Kevin Feige
"
Spider-Man: Brand New Day,"Destin Daniel Cretton[109]
","Chris McKenna & Erik Sommers[110]
","Kevin Feige and Amy Pascal
"
Avengers: Doomsday,"Anthony and Joe Russo[112]
","Michael Waldron and Stephen McFeely[112]
","Kevin Feige, Anthony Russo, and Joe Russo
"
Avengers: Secret Wars,"In development
",,
Armor Wars,"TBA
","Yassir Lester[113]
","Kevin Feige
"
Black Panther 3,"Ryan Coogler[114][115]
","Kevin Feige and Nate Moore
",
Blade,"TBA
","Eric Pearson[116]
","Kevin Feige
"
,"Destin Daniel Cretton[117]
","Kevin Feige and Jonathan Schwartz
",
,"Jake Schreier[118]
","Michael Lesslie[119]
","Kevin Feige
"
